company_id,company_email,company_password
1,dummystartup@gmail.com,dummydummy
2,liminary@example.com,wHHOSPbHxYMS
3,wabi@example.com,hBLWLOW39gyR
4,anivahealth@example.com,pIzKqFZKA1e7
5,item@example.com,Xvh2m2nYkLrr
6,lunos@example.com,QpL2iSsdfTLv
7,noxmetals@example.com,SsxBvC37VGDO
8,cradle@example.com,JUnG7AV1ArfD
9,polars@example.com,avKOsKtN0rB1
10,keycard@example.com,0ZdYhQZbxHr1
11,othership@example.com,YuMHWmWt8K12
12,elihealth@example.com,MoTNJNG3IPja
13,lithic@example.com,7W4eyquq8PfJ
14,speak@example.com,JJKv1r3rRJbN
15,airbound@example.com,5VXWhTZVA0Q1
16,rockfi@example.com,xzp5FI4a8fsW
17,pivot@example.com,NKWh1EGbbqgo
18,rayan@example.com,GUEpzUHXhYzp
19,lyric@example.com,nEsQwkJgRLol
20,neko@example.com,1k86OqRNJG4B
21,tailscale@example.com,eg6HrxDKhsH0
22,mollie@example.com,659byw0u2Sx2
23,rebellions@example.com,E82LLlnQjmnZ
24,wrtn@example.com,Ip9P42Fo4AWK
25,synthesia@example.com,9jhj2BUrVqrM
26,gradientlabs@example.com,uG3FYDy2fTXS
27,ben@example.com,MLb5gjHMc3Ph
28,instant@example.com,0uQ0rmIhdsAh
29,adora@example.com,JjWl7jZOaDE9
30,priorlabs@example.com,yVURUgmrMe3v
31,rows@example.com,7PIuUSiE9KWr
32,n8n@example.com,JefZvOh52Vdv
33,themobilefirstcompany@example.com,IxFiMl4TsO7Z
34,supersonik@example.com,JefCJpXcz3T4
35,orbio@example.com,pULUi4jzTlrd
36,enode@example.com,UwDOigQwFWSc
37,atlas@example.com,YMEzxBbpyzzf
38,tines@example.com,tEnKBWxnND5B
39,evervault@example.com,wy7VbyOMzaYW
40,open@example.com,6HmRt1jQAGZr
41,loop@example.com,gHBOv4KBaKD5
42,betterstack@example.com,8AXWxjFQkcqk
43,light@example.com,hVe0XPRaDDXk
44,teton@example.com,pmD94y6W0kS4
45,campus@example.com,e6rQll5imJCD
46,varda@example.com,OP27LGZAmLRL
47,eliseai@example.com,qh39811mhogc
48,voidzero@example.com,6gIclJOUGaNJ
49,airalo@example.com,0qmWdsqxLoVx
50,cohere@example.com,w7yFdoSz8N3C
51,alloy@example.com,kwfsULPUfJ6E
52,sonatic@example.com,EYvyAmBaPFvg
53,rove@example.com,7PVxkZ6bJRZV
54,basehub@example.com,FtFpmmAnpWPO
55,thegeneralintelligencecompany@example.com,mfONDByxj4VI
56,roundtreasury@example.com,K6XSf5DXVYlJ
57,format@example.com,UsfIBabtYuBG
58,pace@example.com,AXcCw0l01LmU
59,rosie@example.com,sJgcnOE9gi3m
60,supermemory@example.com,gUzN4TBWMvtt
61,durin@example.com,OZtPJjqLuxsx
62,midday@example.com,0tiHtwLX9tE0
63,subframe@example.com,zdYN1CyjoHOo
64,arena@example.com,FSdG2wFz9GxU
65,langbase@example.com,E5YrrVrQhmLy
66,operate@example.com,weEYBGIel0Nx
67,interfere@example.com,aN6Xl8IKwjQI
68,flowercomputerco@example.com,n1XM1X4WTUqO
69,hadesmining@example.com,OYxCR1ejJuB2
70,interhuman@example.com,cjs8BttUooXb
71,yieldclub@example.com,f5ob4oweEBXF
72,series@example.com,HtYvRldRNwHa
73,nowadays@example.com,tVgL2Wjp9Rv6
74,alma@example.com,lS1SXJ8pKVAd
75,twill@example.com,luAJiBJB8v9u
76,zero@example.com,R9gJJFsR4mEA
77,volta@example.com,QPrslNvLMOjL
78,lemni@example.com,x1fNFRsG5FT4
79,glyphic@example.com,1XpovpwrpIME
80,coplane@example.com,CWJzBBxKmCEc
81,tenzai@example.com,P25zyNdPBkaF
82,flint@example.com,tWlncTveY2Xm
83,composite@example.com,gbhRY2qMMy7E
84,espressoai@example.com,USQiYGYTnC68
85,zocomputer@example.com,4oq7SrLvyqNt
86,subtrate@example.com,oaa011IKqtv8
87,sunday@example.com,i3z4tFNByV62
88,alphaxiv@example.com,A1aqFQ15ybUq
89,orion@example.com,5DdyrCRCZcyq
90,buildforever@example.com,oEa3VYLPeCar
91,wonderstudios@example.com,GvZNTBwsKODL
92,runlayer@example.com,vBTrSytn1meC
93,mantle@example.com,wvqTwma1L171
94,ethos@example.com,lHBeernQu1dS
95,dedaluslabs@example.com,GZOW8GVvWwpU
96,medusa@example.com,PZhVyov3ObkE
97,mymind@example.com,IyolgNIVLo9a
98,worldlabs@example.com,zgi8W2gkToCm
99,airloom@example.com,zhbY5ZRjNNfe
100,onton@example.com,wjxFYHry3sXd
101,terranova@example.com,EDhXkR8eawQY
102,ando@example.com,etHJdDv2MIQC
103,fastino@example.com,jM3BcNmnx1kc
104,highscore@example.com,w666cZGme62e
105,slingshotai@example.com,XbKTMCQOlKbm
106,faunarobotics@example.com,1FjPfdfwo3vg
107,loonen@example.com,sC5m4iKdYtHu
108,teraai@example.com,NRls6dnRmk3i
109,subtlecomputing@example.com,fd6gjSuCuAMk
110,chroma@example.com,KenBBXak8Wzo
111,legend@example.com,lKgAzOTgw4Cy
112,inception@example.com,5pMP45UPWAvu
113,parable@example.com,rgY5pqk31c3k
114,normal@example.com,KC3q5chraiQd
115,meritfirst@example.com,7ZU2c7WMQvTT
116,letta@example.com,rdwx77rToWQ6
117,yutori@example.com,WEIGyJZilpki
118,catalyxspace@example.com,e2SRFSzILWj6
119,board@example.com,cjx2Fach0sl2
120,rerun@example.com,EXCgppafP1L8
121,throne@example.com,p1FnjDhh8jwX
122,extropic@example.com,2zoWxdHJPUCo
123,vesence@example.com,G9jIMDUuN5Fy
124,arcadeai@example.com,z8CYuN31nReT
125,generationlab@example.com,jfV5lBmdRKsk
126,valthos@example.com,zKq2pH78ssr1
127,outsmart@example.com,ERcOUoDlWnqG
128,natural@example.com,5C87EufywyMw
129,claritycare@example.com,eCZGE9HOTaFf
130,commonpaper@example.com,E9rMKkBVtVA8
131,agora@example.com,kh7OhOUSkqJq
132,sandbar@example.com,GAQbD8hylNkJ
133,bronto@example.com,Cy6agmpjEzMW
134,goodstartlabs@example.com,8WgDFhO0cKgD
135,osmosis@example.com,HL9Q2vUPKzIC
136,generalintuition@example.com,PIwuY2qRwLtD
